dia,grado,bloque,materia,docente,aula
Jueves,6°4,3,Geometría,Ana María Betancur Escobar,Aula 6°4
Jueves,6°4,4,Inglés,Andrés Felipe Giraldo Duque,Aula 6°4
Jueves,6°4,5,Matemáticas,Germán Antonio Ospina Muñoz,Aula 6°4
Jueves,6°4,6,Artística,Natalia Andrea Gaviria Rivera,Aula 6°4
Jueves,7°4,1,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 7°4
Jueves,7°4,2,Informática,Sebastián Morales Castro,Sala de Sistemas
Jueves,7°4,3,Artística,Paula Andrea Ruiz Cardona,Aula 7°4
Jueves,7°4,4,Lengua Castellana,María Camila Restrepo Henao,Aula 7°4
Jueves,7°4,5,Sociales,Carlos Alberto Mendoza Jaramillo,Aula 7°4
Jueves,7°4,6,Religión,Sandra Milena Arboleda Ruiz,Aula 7°4
Jueves,8°4,1,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 8°4
Jueves,8°4,2,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 8°4
Jueves,8°4,3,Inglés,Andrés Felipe Giraldo Duque,Aula 8°4
Jueves,8°4,4,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Jueves,8°4,5,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Jueves,8°4,6,Matemáticas,Juan Pablo Pérez Gómez,Aula 8°4
Jueves,9°3,1,Física,Diego Fernando Ramírez Zapata,Aula 9°3
Jueves,9°3,2,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 9°3
Jueves,9°3,3,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 9°3
Jueves,9°3,4,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Jueves,9°3,5,Ética,Gloria Isabel Puerta Rendón,Aula 9°3
Jueves,9°3,6,Geometría,Ana María Betancur Escobar,Aula 9°3
Viernes,10°3,1,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Viernes,10°3,2,Inglés,Andrés Felipe Giraldo Duque,Aula 10°3
Viernes,10°3,3,Sociales,Jorge Enrique Betancur Londoño,Aula 10°3
Viernes,10°3,4,Geometría,Ana María Betancur Escobar,Aula 10°3
Viernes,10°3,5,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Viernes,10°3,6,Matemáticas,Germán Antonio Ospina Muñoz,Aula 10°3
Viernes,11°3,1,Matemáticas,Juan Pablo Pérez Gómez,Aula 11°3
Viernes,11°3,2,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 11°3
Viernes,11°3,3,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Viernes,11°3,4,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 11°3
Viernes,11°3,5,Inglés,Andrés Felipe Giraldo Duque,Aula 11°3
Viernes,11°3,6,Sociales,Jorge Enrique Betancur Londoño,Aula 11°3
Viernes,6°4,1,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 6°4
Viernes,6°4,2,Ética,Gloria Isabel Puerta Rendón,Aula 6°4
Viernes,6°4,3,Inglés,Natalia Andrea Gaviria Rivera,Aula 6°4
Viernes,6°4,4,Informática,Sebastián Morales Castro,Sala de Sistemas
Viernes,6°4,5,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 6°4
Viernes,6°4,6,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 6°4
Viernes,7°4,1,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 7°4
Viernes,7°4,2,Física,Diego Fernando Ramírez Zapata,Aula 7°4
Viernes,7°4,3,Inglés,Andrés Felipe Giraldo Duque,Aula 7°4
Viernes,7°4,4,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Viernes,7°4,5,Matemáticas,Germán Antonio Ospina Muñoz,Aula 7°4
Viernes,7°4,6,Informática,Sebastián Morales Castro,Sala de Sistemas
Viernes,8°4,1,Sociales,Carlos Alberto Mendoza Jaramillo,Aula 8°4
Viernes,8°4,2,Matemáticas,Juan Pablo Pérez Gómez,Aula 8°4
Viernes,8°4,3,Física,Diego Fernando Ramírez Zapata,Aula 8°4
Viernes,8°4,4,Ética,Gloria Isabel Puerta Rendón,Aula 8°4
Viernes,8°4,5,Inglés,Natalia Andrea Gaviria Rivera,Aula 8°4
Viernes,8°4,6,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 8°4
Viernes,9°3,1,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Viernes,9°3,2,Matemáticas,Germán Antonio Ospina Muñoz,Aula 9°3
Viernes,9°3,3,Informática,Sebastián Morales Castro,Sala de Sistemas
Viernes,9°3,4,Sociales,Jorge Enrique Betancur Londoño,Aula 9°3
Viernes,9°3,5,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Viernes,9°3,6,Inglés,Natalia Andrea Gaviria Rivera,Aula 9°3
